CODL,site,latitude,longitude,elevation,SD_SS1,SD_SS2,SD_SS3,SD_SS4,SD_SS5,RSR_SS3,RSR_SS4,RSR_SS5,RAIN,NPP,DLC,HET,REF,HDR,FRAG,SAND
1,BJS,-9.23843,-44.78188,612.5,-0.8780569,-0.967997505,-1.129329575,-1.256834377,-1.244880981,-1.374224499,-1.44414908,-1.30767587,-2.103630973,-1.691165917,-0.552486027,-1.737510444,-1.354780065,0.504516134,-0.688400539,0.575801995
5,BSB,-15.9541325,-47.9226135,1117.5,-0.349039367,-0.403115864,-0.446594501,-0.419301341,-0.903225949,-0.004661299,-0.243115744,-0.835273946,0.884672213,0.498144882,0.268485792,-2.106000215,1.002537248,-0.777195921,0.937326487,-1.411096669
7,PCT,-17.1859255,-47.055332,704.5,0.869845825,1.0452986,1.132230359,1.007606794,1.089761742,1.19889424,0.95272281,0.81673515,-0.582321975,1.048246971,0.271175269,0.701728489,0.478688956,-0.395067739,-0.322061274,-0.658282606
11,BRG,-15.853951,-52.2607915,520,0.929135587,0.987362021,0.897540177,0.976587052,0.74810671,0.855811742,0.93921638,0.667653675,0.87434398,0.183698081,-1.399367143,0.012399506,0.478688956,0.592134961,-0.849898863,0.727488465
14,NSJ,-15.068869,-52.7825355,331.5,0.800863912,0.654226695,0.55617264,0.294152726,0.406451677,0.460160151,0.200518541,0.207364621,0.868694304,0.035200192,-1.399367143,1.025049102,-0.045159335,0.819943911,-0.857032265,0.814208159
16,NXV,-14.707211,-52.334383,299.5,1.227212975,1.392918071,1.494933367,1.907179313,1.830014313,1.043953757,1.3464872,1.364609571,0.367476343,-0.266444587,-1.399367143,0.16625246,0.478688956,0.96279471,-0.273898696,0.774674413
20,PAT,-19.1982485,-47.032148,878.5,-0.016995381,0.060376764,0.662849995,1.162705504,1.431416775,1.353834724,1.711160816,1.736381499,0.480330773,0.569373059,1.208743689,0.740918289,1.002537248,0.523324364,-0.275834469,-1.524269793
22,POL,-18.1995315,-46.5076975,915.5,-1.152444262,-0.95351336,-0.723955625,-0.450321083,0.12173915,0.119844447,0.38545274,0.920160423,0.144934034,0.906132346,1.237306545,1.344244499,1.52638554,0.351756608,0.597454309,-1.469316769
27,PND,-15.4971445,-44.7047255,563.5,0.434530631,0.248670645,0.108127747,0.04599479,-0.049088367,0.067275354,-0.125713697,-0.249197397,-1.851883926,0.327656664,-1.399367143,-0.964060483,-0.045159335,-0.172121404,-0.176952399,1.033350282
29,SAC,-21.9735855,-47.8737125,852,0.539058393,0.509385248,0.55617264,0.604350147,0.634221699,0.61233384,0.649347608,0.551183773,0.059536272,1.482768968,0.34928644,1.119783033,-0.045159335,1.35226269,-0.231024897,-0.530431661
33,CDN,-17.7975275,-48.687385,967.5,1.164829682,1.204624191,0.96154659,0.728429115,0.520336688,0.808776238,0.509088525,0.200842306,0.06006122,0.305556747,-0.010224316,-1.652599843,0.21676481,-0.152395699,-0.531718466,-0.725778195
35,UDI,-19.177679,-48.3998715,803.5,-0.072095526,-0.258274418,-0.126562435,0.014975048,0.520336688,0.106010475,0.064415283,0.622929232,0.096805226,1.247438394,0.174392921,0.621970032,1.264461394,0.23202617,-1.135937492,-0.863744893
38,EMA,-17.914,-52.9886755,831,1.085293188,1.132203468,1.281578656,1.379843698,1.203646753,1.05225414,1.116877885,0.920160423,1.049574998,-0.348865835,0.823598204,0.445363772,-0.045159335,-1.192811926,-1.286226314,-0.378178228
40,CGD,-20.4235035,-54.71521,543,0.184989915,0.190734066,0.428159813,0.511290921,1.089761742,0.590199485,0.738697839,1.257457261,0.10270171,0.545863067,0.525801837,1.054067756,0.478688956,-1.75247145,-1.146370766,-1.228053681
44,BON,-20.982066,-56.5128045,416.5,-1.274564956,-1.011449939,-0.851968451,-0.605419793,0.007854139,-0.018495271,0.27428443,0.820462187,-0.297465859,0.239860864,1.243558372,0.827184586,-0.045159335,-1.785500536,0.383338285,-0.713993599
47,PAL,-10.5236665,-48.35264,223,1.48086595,1.392918071,1.089559416,0.821488341,0.634221699,0.609567045,0.353245099,0.04151148,0.986462266,-1.288900368,1.247249484,0.425013301,0.740613102,-2.225888358,-1.160790737,0.703246592
51,JAL,-10.5711025,-46.774127,428.5,-0.495965665,-0.823156058,-1.065323162,-1.256834377,-1.244880981,-2.013353992,-1.725706203,-1.426009291,-0.076611968,-1.238354203,-0.744417688,-0.638951386,1.52638554,-1.175379909,-0.357782215,0.276712063
52,STC,-4.099131,-41.709598,226,-1.482330535,-1.257680397,-1.385355228,-1.504992313,-1.75736353,-1.258019136,-1.509603319,-1.837846865,-0.108177118,-1.20589414,-1.399367143,0.127831978,-1.878628357,1.450524223,0.924930922,1.282766113
57,VBT,-15.0567195,-59.7877365,212,1.318799625,1.074266889,0.918875648,0.635369889,0.007854139,0.521029626,0.305453115,-0.219381102,-0.087505792,-0.525797421,-0.202100097,-1.382351922,-1.092855919,-0.147257841,-1.231315686,1.817176366
60,SRF,-14.913171,-60.0691385,583,-0.254328943,-0.13619377,0.038025485,0.170073758,0.406451677,0.198500457,0.628568484,0.789714133,0.151232451,0.756455624,0.523912622,-0.844704381,0.21676481,0.072844321,0.207033483,0.336949444
61,ASB,-22.809737,-49.236378,637,0.246481974,0.335575513,0.359886306,0.418231695,0.235624161,0.677076827,0.482075664,0.171026011,-0.770935102,1.905443124,1.267497088,0.923534573,-0.045159335,0.936646684,-0.503979206,-0.595356129
64,JAG,-24.1838275,-49.666477,908,1.824048041,2.102641158,2.028320144,1.628001635,1.089761742,1.279131276,1.078436507,0.54279794,-0.400511587,1.570511866,1.981278214,1.601010979,-1.878628357,0.806365287,0.494634122,-1.643660178
68,CHV,-14.13141,-47.7501055,1137.5,-0.948253835,-0.967997505,-0.745291096,-0.419301341,-0.106030872,-0.425214039,0.036363466,0.405829334,1.725279913,-1.01970444,0.144973329,-0.665675872,-0.307083481,-1.01482185,1.939085055,-0.075123255
71,ARA,-7.2382775,-48.148,237.5,-0.207895299,-0.518989021,-0.659949212,-0.698479019,-0.903225949,-1.097545064,-1.044150953,-1.048646807,1.783003417,-1.058550973,-1.399367143,-0.686926411,-0.830931773,0.817833719,-0.057019209,1.014020846
74,CAR,-7.198722,-47.28425,272.5,-1.078177657,-1.286648687,-1.449361641,-1.567031797,-1.928191047,-2.173828064,-2.014536018,-2.224526941,0.715829659,-1.198606232,-1.399367143,0.185512368,0.21676481,1.599522102,1.404481821,1.631726454
C,CUI,-15.482847,-56.007192,215,-1.305756013,-1.25354207,-1.24210278,-1.442952829,-1.13099597,-1.312169254,-1.424408913,-0.89024774,-0.316958465,-0.439893618,0.0292907,0.691881759,-0.830931773,0.487542853,1.300601572,1.249980552
E,SAR,-15.6444445,-57.207361,239,-1.702874389,-1.454664765,-1.432293265,-1.070715924,-0.960168454,-0.647664304,-0.478958796,-0.449525629,-0.280881361,0.715137865,0.308721182,-0.650404809,-0.830931773,0.208171829,-0.731441131,0.201487047
K23,BRR,-12.1473055,-45.1485,692.5,-0.891986816,-0.95351336,-1.02265222,-1.070715924,-0.903225949,-1.274619902,-1.293500435,-0.740234505,-0.94882131,-0.803855512,0.04515675,0.202130868,1.52638554,-0.633611141,1.154655119,-0.361137488
K25,MUC,-12.9345,-41.485403,1039,0.004809847,-0.084464682,-0.23323979,-0.543380309,-0.846283443,0.045140999,-0.468569234,-0.808252928,-2.525233342,-1.251455469,-0.345630309,-0.886691585,-1.878628357,-0.293686792,2.474143446,-0.26116565